cod_zona,glosa_zona,votos_2016,votos_2017,votos_2020,electores_2016,electores_2017,electores_2020,electores_2021,part_2016,part_2017,part_2020
2799,PAINE,18731,23409,27952,47780,49054,52520,53793,0.3920259522812892,0.4772087903127166,0.5322162985529322
2736,PALENA,1183,783,636,2321,2302,2341,2362,0.5096940973718225,0.3401390095569069,0.2716787697565143
2607,PALMILLA,6009,4897,4336,9986,10094,10300,10428,0.6017424394151812,0.4851396869427382,0.4209708737864077
2817,PANGUIPULLI,12551,13241,12449,32816,33374,34621,35236,0.3824658703071672,0.3967459699167016,0.3595794460009821
2572,PANQUEHUE,3609,3097,3591,6137,6197,6371,6599,0.5880723480527945,0.4997579473939003,0.5636477789985873
2555,PAPUDO,3587,2993,3498,5184,5305,5643,6102,0.6919367283950617,0.5641847313854854,0.6198830409356725
2601,PAREDONES,4703,2932,2471,6581,6587,6660,7074,0.7146330344932381,0.4451191741308638,0.371021021021021
2637,PARRAL,17824,17240,14897,36525,37035,37730,37860,0.4879945242984257,0.4655056028081545,0.3948316989133316
2778,PEDRO AGUIRRE CERDA,28547,46720,55776,96273,95614,94170,93161,0.2965213507421603,0.4886313719748154,0.5922905383880217
2617,PELARCO,4561,3836,3391,8040,8097,8385,8540,0.5672885572139303,0.4737557119920958,0.4044126416219439
2624,PELLUHUE,4963,3676,2917,6895,6851,7375,7848,0.7197969543147208,0.5365640052547074,0.3955254237288136
2830,PEMUCO,5054,3836,2880,7903,8064,8132,8351,0.6395039858281665,0.4756944444444444,0.3541564190850959
2618,PENCAHUE,6656,5319,4169,10320,10231,10232,10505,0.6449612403100775,0.5198905287850649,0.4074472243940578
2648,PENCO,20291,21261,23135,40892,41331,42048,42200,0.4962095275359483,0.5144080714233868,0.5502045281582952
2608,PERALILLO,5678,4473,4540,9642,9766,10058,10082,0.5888819746940469,0.4580176121236945,0.4513819844899583
2687,PERQUENCO,3509,3005,2553,6347,6379,6631,6821,0.5528596187175043,0.4710769713121179,0.3850098024430704
2556,PETORCA,4808,4188,4639,9069,9119,9320,9462,0.5301576800088212,0.4592608838688453,0.4977467811158798
2590,PEUMO,7252,6196,6230,12311,12468,12719,12828,0.5890666883275121,0.4969521976259224,0.4898183819482664
2809,PEÑAFLOR,26372,34074,43186,66651,68024,71945,72543,0.3956729831510405,0.5009114430201106,0.6002640906247828
2779,PEÑALOLEN,50031,91593,115246,183451,185846,192235,191707,0.2727213261306834,0.4928435371221334,0.5995058131973886
2507,PICA,3140,2405,2435,5100,5000,5460,5779,0.615686274509804,0.481,0.445970695970696
2591,PICHIDEGUA,8077,7329,6471,15838,16114,16499,16858,0.5099760070716,0.4548218940052128,0.3922055882174677
2596,PICHILEMU,8263,7019,7618,12989,13345,14981,15875,0.6361536684887212,0.5259647808167853,0.5085107803217409
2831,PINTO,5917,5371,4300,10578,10716,11019,11329,0.5593685006617508,0.5012131392310564,0.3902350485525002
2791,PIRQUE,8053,10651,13102,20428,20881,21736,22646,0.3942138241629137,0.5100809348211293,0.6027788001472212
2688,PITRUFQUEN,9407,10061,8567,21681,22039,22765,23103,0.4338822010054887,0.4565089160125233,0.3763233033164946
2609,PLACILLA,5775,4186,3945,7964,7930,8118,8240,0.7251381215469613,0.5278688524590164,0.4859571322985957
2839,PORTEZUELO,4088,2845,2037,5878,5818,5758,5845,0.695474651241919,0.4889996562392575,0.3537686696769712
2753,PORVENIR,2171,2043,1895,6185,6183,6156,6159,0.3510105092966855,0.3304221251819505,0.3078297595841456
2503,POZO ALMONTE,5217,4322,4843,11189,11215,11866,11898,0.4662615068370721,0.3853767275969683,0.4081409067925164
2754,PRIMAVERA,536,289,253,1526,1416,1265,1341,0.3512450851900393,0.2040960451977401,0.2
2780,PROVIDENCIA,61484,89851,91745,162963,164311,169757,170255,0.3772880960708873,0.5468349654009774,0.5404489947395394
2545,PUCHUNCAVI,7757,6642,8658,13809,14026,15245,16007,0.5617351002969078,0.4735491230571795,0.5679239094785176
2689,PUCON,9075,9961,11376,24455,25198,27403,28338,0.3710897566959722,0.3953091515199619,0.4151370287924679
2781,PUDAHUEL,38961,76018,99728,161613,163680,168418,168984,0.2410759035473631,0.464430596285435,0.5921457326414041
2790,PUENTE ALTO,85471,163377,228628,374571,382776,398965,399739,0.2281837088295677,0.4268214308107091,0.5730527740528618
2707,PUERTO MONTT,44148,74569,88206,171141,174918,184367,186565,0.2579627324837415,0.4263083273305206,0.4784261825597856
